Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative Instance ID,Destination Domains,Channels
euronews.com,https://feeds.feedburner.com/euronews/en/home/,Euronews,Top News,Enabled,-1.32,,article,,www.euronews.com,Top Sources; Top News
ft.com,https://www.ft.com/rss/home/uk,Financial Times,Top News,Enabled,-1.33,,article,,www.ft.com,Top Sources; Top News; Business
motherjones.com,https://feeds.feedburner.com/motherjones/main,Mother Jones,Top News,Enabled,-1.33,,article,,www.motherjones.com,Top Sources; Top News; Politics
csmonitor.com,https://rss.csmonitor.com/feeds/top,The Christian Science Monitor,Top News,Enabled,-1.35,,article,,www.csmonitor.com,Top Sources; Top News
propublica.org,https://www.propublica.org/feeds/propublica/main,ProPublica,Top News,Enabled,-1.38,,article,,www.propublica.org,Top Sources; Top News
tnr.com,https://newrepublic.com/rss.xml,The New Republic,Top News,Enabled,-1.39,,article,,newrepublic.com,Top Sources; Top News; Politics
democracynow.org,https://www.democracynow.org/democracynow.rss,Democracy Now!,Top News,Enabled,-1.39,,article,,www.democracynow.org,Top Sources; Top News; Politics
foreignpolicy.com,https://foreignpolicy.com/feed/,Foreign Policy,Top News,Enabled,-1.4,,article,,foreignpolicy.com,Top Sources; Top News; Politics
thenation.com,https://www.thenation.com/feed/?post_type=article,The Nation,Top News,Enabled,-1.42,,article,,www.thenation.com,Top Sources; Top News; Politics
huffingtonpost.com,https://www.huffpost.com/section/world-news/feed,HuffPost,Top News,Enabled,-1.43,,article,,www.huffpost.com,Top Sources; Top News
finance.yahoo.com,https://finance.yahoo.com/rss/topstories,Yahoo Finance,Business,Enabled,6.09,On,article,,www.barrons.com;www.marketwatch.com;www.investors.com;finance.yahoo.com;www.investopedia.com,Top Sources; Business
fastcompany.com,https://feeds.feedburner.com/fastcompany/headlines,Fast Company,Business,Enabled,3.66,,article,,www.fastcompany.com,Top Sources; Business
forbes.com,https://www.forbes.com/real-time/feed/,Forbes,Business,Enabled,3.61,,article,,www.forbes.com,Top Sources; Business
wsj.com,https://feeds.a.dj.com/rss/RSSMarketsMain.xml,WSJ - Markets,Business,Enabled,2.49,,article,,www.wsj.com,Top Sources; Business
cnbc.com,https://www.cnbc.com/id/100003114/device/rss/rss.html,CNBC,Business,Enabled,2.09,,article,,www.cnbc.com,Top Sources; Business
businessinsider.com,https://feeds2.feedburner.com/businessinsider,Business Insider,Business,Enabled,2.03,,article,,www.businessinsider.com;markets.businessinsider.com,Top Sources; Business
entrepreneur.com,https://feeds.feedburner.com/entrepreneur/latest,Entrepreneur,Business,Enabled,1.39,,article,,www.entrepreneur.com,Top Sources; Business
hbr.org,https://feeds.harvardbusiness.org/harvardbusiness/,Harvard Business Review,Business,Enabled,1.17,,article,,hbr.org,Top Sources; Business
marketwatch.com,https://feeds.marketwatch.com/marketwatch/topstories/,MarketWatch,Business,Enabled,0.88,,article,,www.marketwatch.com,Top Sources; Business
inc.com,https://www.inc.com/rss/homepage.xml,Inc.com,Business,Enabled,0.72,,article,,www.inc.com,Top Sources; Business
economist.com,https://www.economist.com/business/rss.xml,The Economist,Business,Enabled,0.7,,article,,www.economist.com,Top Sources; Business
freakonomics.com,https://freakonomics.com/feed/,Freakonomics,Business,Enabled,-0.24,,article,,freakonomics.com,Top Sources; Business
fool.com,https://www.fool.com/a/feeds/foolwatch?format=rss2&id=foolwatch&apikey=foolwatch-feed,The Motley Fool,Business,Enabled,-0.31,,article,,www.fool.com,Top Sources; Business
foxbusiness.com,https://feeds.foxbusiness.com/foxbusiness/latest,FOX Business,Business,Enabled,-0.61,On,article,,www.foxbusiness.com,Top Sources; Business
qz.com,https://cms.qz.com/feed/,Quartz,Business,Enabled,-0.86,,article,,qz.com,Top Sources; Business
psfk.com,https://www.psfk.com/feeds/psfk,PSFK,Business,Enabled,-1.14,,article,,www.psfk.com,Top Sources; Business
smallbiztrends.com,https://feeds.feedburner.com/SmallBusinessTrends,Small Business Trends,Business,Enabled,-1.36,,article,,smallbiztrends.com,Top Sources; Business
seekingalpha.com,https://seekingalpha.com/feed.xml,Seeking Alpha,Business,Enabled,-1.39,,article,,seekingalpha.com,Top Sources; Business
fortune.com,https://fortune.com/feed/,Fortune,Business,Enabled,-1.45,,article,,fortune.com,Top Sources; Business
ft.com,https://www.ft.com/markets?format=rss,Financial Times - Markets,Business,Enabled,-1.66,,article,,www.ft.com,Top Sources; Business
autoblog.com,https://www.autoblog.com/rss.xml,Autoblog,Cars,Enabled,10.1,,article,,www.autoblog.com,Top Sources; Cars
jalopnik.com,https://jalopnik.com/rss,Jalopnik,Cars,Enabled,4.67,,article,,jalopnik.com,Top Sources; Cars
caranddriver.com,https://www.caranddriver.com/rss/all.xml/,Car and Driver,Cars,Enabled,4.33,,article,,www.caranddriver.com,Top Sources; Cars
edmunds.com,https://www.edmunds.com/feeds/rss/articles.xml,Edmunds,Cars,Enabled,4.23,,article,,www.edmunds.com,Top Sources; Cars
motor1.com,https://www.motor1.com/rss/news/all/,Motor1,Cars,Enabled,3.43,,article,,www.motor1.com,Top Sources; Cars
thetruthaboutcars.com,https://www.thetruthaboutcars.com/feed/,The Truth About Cars,Cars,Enabled,1.88,,article,,www.thetruthaboutcars.com,Top Sources; Cars
electrek.co,https://electrek.co/feed/,Electrek,Cars,Enabled,0.98,,article,,electrek.co,Top Sources; Cars
insideevs.com,https://insideevs.com/rss/articles/all/,InsideEVs,Cars,Enabled,1,,article,,insideevs.com,Top Sources; Cars
carbuzz.com,https://carbuzz.com/rss/news,CarBuzz,Cars,Enabled,1.02,,article,,carbuzz.com,Top Sources; Cars
autosport.com,https://www.autosport.com/rss/all/news/,Autosport,Cars,Enabled,0.5,,article,,www.autosport.com,Top Sources; Cars
speedhunters.com,https://feeds.feedburner.com/Speedhunters,Speedhunters,Cars,Enabled,0.4,,article,,www.speedhunters.com,Top Sources; Cars
carscoops.com,https://www.carscoops.com/category/news/feed/,Carscoops,Cars,Enabled,0.35,,article,,www.carscoops.com,Top Sources; Cars
bikeexif.com,https://www.bikeexif.com/feed,Bike EXIF,Cars,Enabled,0.21,,article,,www.bikeexif.com,Top Sources; Cars
thedrive.com,https://api.thedrive.com/feed/?post_type=the_drive_article,The Drive,Cars,Enabled,0.44,,article,,www.thedrive.com,Top Sources; Cars
autocar.co.uk,https://www.autocar.co.uk/rss/latestnews,Autocar,Cars,Enabled,-0.18,,article,,www.autocar.co.uk,Top Sources; Cars
bringatrailer.com,https://bringatrailer.com/feed/,Bring A Trailer,Cars,Enabled,-0.21,,article,,bringatrailer.com,Top Sources; Cars
paultan.org,https://paultan.org/feed/,Paul Tan's Automotive News,Cars,Enabled,-0.4,,article,,paultan.org,Top Sources; Cars
thecarconnection.com,https://feeds.feedburner.com/MotorAuthority2,The Car Connection,Cars,Enabled,-0.43,,article,,www.motorauthority.com,Top Sources; Cars
cointelegraph.com,https://cointelegraph.com/rss,Cointelegraph,Crypto,Enabled,16.96,,article,,cointelegraph.com,Top Sources; Crypto
bitcoinmagazine.com,https://feeds.feedburner.com/BitcoinMagazine,Bitcoin Magazine,Crypto,Enabled,3.09,,article,,bitcoinmagazine.com,Top Sources; Crypto
decrypt.co,https://decrypt.co/feed/,Decrypt,Crypto,Enabled,2.23,,article,,decrypt.co,Top Sources; Crypto
bitcoinist.com,https://feeds.feedburner.com/bitcoinist/,Bitcoinist,Crypto,Enabled,1.96,,article,,bitcoinist.com,Top Sources; Crypto
newsbtc.com,https://www.newsbtc.com/feed/,NewsBTC,Crypto,Enabled,1.77,,article,,www.newsbtc.com,Top Sources; Crypto
99bitcoins.com,https://99bitcoins.com/feed/,99 Bitcoins,Crypto,Enabled,1.19,,article,,99bitcoins.com,Top Sources; Crypto
cryptoslate.com,https://cryptoslate.com/feed/,CryptoSlate,Crypto,Enabled,0.18,,article,,cryptoslate.com,Top Sources; Crypto
financemagnates.com,https://www.financemagnates.com/cryptocurrency/feed/,Finance Magnates,Crypto,Enabled,-0.07,,article,,www.financemagnates.com,Top Sources; Crypto
btcmanager.com,https://btcmanager.com/feed/,BTCMANAGER,Crypto,Enabled,-0.16,,article,,btcmanager.com,Top Sources; Crypto
blockgeeks.com,https://blockgeeks.com/feed/,Blockgeeks,Crypto,Enabled,-0.28,,article,,blockgeeks.com,Top Sources; Crypto
cryptopotato.com,https://cryptopotato.com/feed/,CryptoPotato,Crypto,Enabled,-0.3,,article,,cryptopotato.com,Top Sources; Crypto
wikihow.com,https://www.wikihow.com/feed.rss,Wikihow,Culture,Enabled,11.09,On,article,,www.wikihow.com,Top Sources; Culture
theatlantic.com,https://feeds.feedburner.com/TheAtlantic,The Atlantic,Culture,Enabled,7.11,,article,,www.theatlantic.com,Top Sources; Culture; Politics
ted.com,https://feeds.feedburner.com/tedtalks_video,TED Talks,Culture,Enabled,6.61,On,article,,www.ted.com,Top Sources; Culture; Video
vox.com,https://www.vox.com/rss/index.xml,Vox,Culture,Enabled,6.21,,article,,www.vox.com,Top Sources; Culture
slate.com,https://slate.com/feeds/all.rss,Slate,Culture,Enabled,5.56,,article,,slate.com,Top Sources; Culture
vice.com,https://www.vice.com/en/rss?locale=en_us,VICE,Culture,Enabled,5.53,,article,,www.vice.com,Top Sources; Culture
newyorker.com,https://www.newyorker.com/feed/everything,The New Yorker,Culture,Enabled,3.96,,article,,www.newyorker.com,Top Sources; Culture
boingboing.net,https://boingboing.net/feed,Boing Boing,Culture,Enabled,2.27,,article,,boingboing.net,Top Sources; Culture
brainpickings.org,https://feeds.feedburner.com/brainpickings/rss,Brain Pickings,Culture,Enabled,1.94,,article,,www.themarginalian.org,Top Sources; Culture
vanityfair.com,https://www.vanityfair.com/feed/rss,Vanity Fair,Culture,Enabled,1.91,,article,,www.vanityfair.com,Top Sources; Culture
coolhunting.com,https://coolhunting.com/feed/atom/,Cool Hunting,Culture,Enabled,1.15,,article,,coolhunting.com,Top Sources; Culture
complex.com,https://assets.complex.com/feeds/channels/all.xml,Complex,Culture,Enabled,1.15,,article,,www.complex.com;solecollector.com,Top Sources; Culture
mentalfloss.com,https://www.mentalfloss.com/rss.xml,Mental Floss,Culture,Enabled,0.68,,article,,www.mentalfloss.com,Top Sources; Culture
thoughtcatalog.com,https://feeds.feedburner.com/ThoughtCatalog,Thought Catalog,Culture,Enabled,0.38,,article,,thoughtcatalog.com,Top Sources; Culture
openculture.com,https://feeds.feedburner.com/OpenCulture,Open Culture,Culture,Enabled,0.27,,article,,www.openculture.com,Top Sources; Culture
salon.com,https://www.salon.com/feed/,Salon.com,Culture,Enabled,0.05,,article,,www.salon.com,Top Sources; Culture
postsecret.blogspot.com,https://postsecret.blogspot.com/feeds/posts/default,PostSecret,Culture,Enabled,-0.06,,article,,postsecret.blogspot.com,Top Sources; Culture
upworthy.com,https://feeds.feedburner.com/upworthy,Upworthy,Culture,Enabled,-0.11,,article,,biztoc.com,Top Sources; Culture
kottke.org,https://feeds.kottke.org/main,kottke.org,Culture,Enabled,-0.16,,article,,kottke.org,Top Sources; Culture
nybooks.com,https://feeds.feedburner.com/nybooks,The New York Review of Books,Culture,Enabled,-0.4,,article,,www.nybooks.com,Top Sources; Culture
theroot.com,https://www.theroot.com/rss/full,The Root,Culture,Enabled,-0.43,,article,,www.theroot.com,Top Sources; Culture
tmz.com,https://www.tmz.com/rss.xml,TMZ,Entertainment,Enabled,3.7,,article,,www.tmz.com,Top Sources; Entertainment
rollingstone.com,https://www.rollingstone.com/music/feed/,Rolling Stone,Entertainment,Enabled,2.19,,article,,www.rollingstone.com,Top Sources; Entertainment; Music
variety.com,https://feeds.feedburner.com/variety/headlines,Variety,Entertainment,Enabled,2.14,,article,,variety.com,Top Sources; Entertainment; Celebs; Film; TV
eonline.com,https://syndication.eonline.com/syndication/feeds/rssfeeds/topstories.xml,E! Online,Entertainment,Enabled,1.39,,article,,www.eonline.com,Top Sources; Entertainment; Celebs; Film; TV
indiewire.com,https://www.indiewire.com/feed/,IndieWire,Entertainment,Enabled,1.04,On,article,,www.indiewire.com,Top Sources; Entertainment; Film
io9.gizmodo.com,https://feeds.feedburner.com/io9/,io9,Entertainment,Enabled,1.01,,article,,gizmodo.com,Top Sources; Entertainment
deadline.com,https://deadline.com/feed/,Deadline,Entertainment,Enabled,0.9,,article,,deadline.com,Top Sources; Entertainment; Film
slashfilm.com,https://feeds.feedburner.com/slashfilm,SlashFilm,Entertainment,Enabled,0.82,,article,,www.slashfilm.com,Top Sources; Entertainment; Film
ign.com,https://feeds.ign.com/ign/reviews,IGN Reviews,Entertainment,Enabled,0.53,,article,,www.ign.com,Top Sources; Entertainment
avclub.com,https://www.avclub.com/rss,The A.V. Club,Entertainment,Enabled,0.42,,article,,www.avclub.com,Top Sources; Entertainment
vanityfair.com,https://www.vanityfair.com/feed/rss,Vanity Fair,Entertainment,Enabled,0.08,,article,,www.vanityfair.com,Top Sources; Entertainment; Culture
firstshowing.net,https://www.firstshowing.net/feed/?full,FirstShowing.net,Entertainment,Enabled,-0.01,On,article,,www.firstshowing.net,Top Sources; Entertainment
etonline.com,https://feeds.feedburner.com/ETTopStories,ET,Entertainment,Enabled,-0.16,,article,,www.etonline.com,Top Sources; Entertainment; Celebs; Film; TV
usmagazine.com,https://www.usmagazine.com/category/entertainment/feed/,Us Weekly,Entertainment,Enabled,-0.29,,article,,www.usmagazine.com,Top Sources; Entertainment; Celebs; Film; TV
flavorwire.com,https://feeds.feedburner.com/flavorwire-rss,Flavorwire,Entertainment,Enabled,-0.44,,article,,www.flavorwire.com,Top Sources; Entertainment
filmschoolrejects.com,https://feeds.feedburner.com/FilmSchoolRejects,Film School Rejects,Entertainment,Enabled,-0.5,,article,,filmschoolrejects.com,Top Sources; Entertainment
aintitcool.com,https://www.aintitcool.com/node/feed/,Ain't It Cool,Entertainment,Enabled,-0.58,,article,,www.aintitcool.com,Top Sources; Entertainment
cinemablend.com,https://www.cinemablend.com/rss/topic/news/movies,CinemaBlend,Entertainment,Enabled,-0.63,,article,,www.cinemablend.com,Top Sources; Entertainment
hollywoodlife.com,https://hollywoodlife.com/feed/,Hollywood Life,Entertainment,Enabled,-0.69,,article,,hollywoodlife.com,Top Sources; Entertainment
tvline.com,https://tvline.com/feed/,TVLine,Entertainment,Enabled,-0.87,,article,,tvline.com,Top Sources; Entertainment
refinery29.com,https://www.refinery29.com/index.xml,Refinery29,Fashion,Enabled,7.95,,article,,www.refinery29.com,Top Sources; Fashion
artofmanliness.com,https://feeds2.feedburner.com/TheArtOfManliness,The Art of Manliness,Fashion,Enabled,5.71,,article,,www.artofmanliness.com,Top Sources; Fashion
hypebeast.com,https://feeds.feedburner.com/hypebeast/feed,Hypebeast,Fashion,Enabled,4.42,,article,,hypebeast.com,Top Sources; Fashion
popsugar.com,https://www.popsugar.com/feed,Popsugar,Fashion,Enabled,3.36,,article,,www.popsugar.com,Top Sources; Fashion
uncrate.com,https://feeds.feedburner.com/uncrate,Uncrate,Fashion,Enabled,3.11,,article,,uncrate.com,Top Sources; Fashion
fashionista.com,https://feeds.feedburner.com/fashionistacom,Fashionista,Fashion,Enabled,3.03,,article,,fashionista.com,Top Sources; Fashion
gq.com,https://www.gq.com/feed/rss,GQ,Fashion,Enabled,2.62,,article,,www.gq.com,Top Sources; Fashion
esquire.com,https://www.esquire.com/rss/style.xml/,Esquire,Fashion,Enabled,2.1,,article,,www.esquire.com,Top Sources; Fashion
whowhatwear.com,https://feeds.whowhatwear.com/whowhatwear,Who What Wear,Fashion,Enabled,1.92,,article,,www.whowhatwear.com,Top Sources; Fashion
elle.com,https://www.elle.com/rss/fashion.xml/,Elle,Fashion,Enabled,1.8,,article,,www.elle.com,Top Sources; Fashion
vogue.com,https://www.vogue.com/feed/rss,Vogue,Fashion,Enabled,1.64,,article,,www.vogue.com,Top Sources; Fashion
highsnobiety.com,https://feeds.feedburner.com/highsnobiety/rss,Highsnobiety,Fashion,Enabled,1.49,,article,,www.highsnobiety.com,Top Sources; Fashion
businessoffashion.com,https://www.businessoffashion.com/arc/outboundfeeds/rss/?outputType=xml,The Business of Fashion,Fashion,Enabled,0.87,,article,,www.businessoffashion.com,Top Sources; Fashion
intothegloss.com/,https://feeds.feedburner.com/intothegloss/oqoU,Into The Gloss,Fashion,Enabled,0.02,,article,,intothegloss.com,Top Sources; Fashion
wearedore.com,https://www.wearedore.com/feed/,DORÉ,Fashion,Enabled,-0.27,,article,,www.wearedore.com,Top Sources; Fashion
wwd.com,https://wwd.com/custom-feed/recent-stories/,WWD,Fashion,Enabled,-0.33,,article,,wwd.com,Top Sources; Fashion
bubbyandbean.com/,https://feeds.feedburner.com/BubbyAndBean,Bubby and Bean,Fashion,Enabled,-0.56,,article,,www.bubbyandbean.com,Top Sources; Fashion
honestlywtf.com,https://feeds.feedburner.com/honestlywtf,Honestly WTF,Fashion,Enabled,-0.62,,article,,honestlywtf.com,Top Sources; Fashion
fashionbeans.com,https://www.fashionbeans.com/feed/,FashionBeans,Fashion,Enabled,-0.67,,article,,www.fashionbeans.com,Top Sources; Fashion
putthison.com,https://putthison.com/feed/,Put This On,Fashion,Enabled,-0.84,,article,,putthison.com,Top Sources; Fashion
thekitchn.com,https://feeds.feedburner.com/apartmenttherapy/thekitchn,Kitchn,Food,Enabled,11.09,,article,,www.thekitchn.com,Top Sources; Food
bonappetit.com,https://www.bonappetit.com/feed/rss,Bon Appétit,Food,Enabled,6.8,,article,,www.bonappetit.com,Top Sources; Food
skillet.lifehacker.com,https://lifehacker.com/rss,Lifehacker - Skillet,Food,Enabled,6.16,,article,,lifehacker.com,Top Sources; Food
eater.com,https://feeds.feedburner.com/EaterNational,Eater,Food,Enabled,5.7,,article,,www.eater.com;nymag.com;austin.eater.com,Top Sources; Food
simplyrecipes.com,https://www.simplyrecipes.com/feeds/google-news,Simply Recipes,Food,Enabled,5.37,,article,,www.simplyrecipes.com,Top Sources; Food
seriouseats.com,https://feeds.seriouseats.com/seriouseatsfeaturesvideos,Serious Eats,Food,Enabled,5.03,,article,,www.seriouseats.com,Top Sources; Food
food52.com,https://feeds.feedburner.com/food52-TheAandMBlog,Food52,Food,Enabled,4.3,,article,,food52.com,Top Sources; Food
pinchofyum.com,https://feeds.feedburner.com/pinch-of-yum,Pinch of Yum,Food,Enabled,0.48,On,article,,pinchofyum.com,Top Sources; Food
dilbert.com,https://feeds.feedburner.com/DilbertDailyStrip,Dilbert Daily Strip,Fun,Enabled,2.81,,article,,dilbert.com,Top Sources; Fun
theonion.com,https://www.theonion.com/rss,The Onion,Fun,Enabled,2.58,,article,,www.theonion.com,Top Sources; Fun
failblog.cheezburger.com,https://feeds.feedburner.com/failblog,FAIL Blog,Fun,Enabled,2.45,,article,,cheezburger.com,Top Sources; Fun
theoatmeal.com,https://theoatmeal.com/feed/rss,The Oatmeal,Fun,Enabled,2.39,,article,,theoatmeal.com,Top Sources; Fun
smbc-comics.com,https://www.smbc-comics.com/comic/rss,Saturday Morning Breakfast Cereal,Fun,Enabled,1.62,,article,,www.smbc-comics.com,Top Sources; Fun
cracked.com,https://feeds.feedburner.com/CrackedRSS,Cracked,Fun,Enabled,1.55,,article,,www.cracked.com,Top Sources; Fun
icanhas.cheezburger.com,https://feeds.feedburner.com/ICanHasCheezburger,I Can Has Cheezburger?,Fun,Enabled,1.25,,article,,cheezburger.com,Top Sources; Fun
penny-arcade.com,https://feeds.penny-arcade.com/pa-mainsite,Penny Arcade,Fun,Enabled,1.21,,article,,www.penny-arcade.com,Top Sources; Fun
healthline.com,https://www.healthline.com/rss/health-news,Healthline,Health,Enabled,12,,article,,www.healthline.com,Top Sources; Health
webmd.com,https://rssfeeds.webmd.com/rss/rss.aspx?RSSSource=RSS_PUBLIC,WebMD Health,Health,Enabled,9.47,,article,,www.webmd.com,Top Sources; Health
mayoclinic.org,https://www.mayoclinic.org/rss/all-health-information-topics,Mayo Clinic,Health,Enabled,3.78,,article,,www.mayoclinic.org,Top Sources; Health
menshealth.com,https://www.menshealth.com/rss/all.xml/,Men's Health,Health,Enabled,1.09,,article,,www.menshealth.com,Top Sources; Health; Fitness
nerdfitness.com,https://feeds.feedburner.com/NerdFitnessBlog,Nerd Fitness,Health,Enabled,0.99,,article,,www.nerdfitness.com,Top Sources; Health; Fitness
mindbodygreen.com,https://www.mindbodygreen.com/rss/feed.xml,mindbodygreen,Health,Enabled,0.87,,article,,www.mindbodygreen.com,Top Sources; Health
nejm.org,https://www.nejm.org/action/showFeed?jc=nejm&type=etoc&feed=rss,New England Journal of Medicine,Health,Enabled,0.48,,article,,www.nejm.org,Top Sources; Health
self.com,https://www.self.com/feed/rss,SELF,Health,Enabled,0.32,,article,,www.self.com,Top Sources; Health; Fitness
greatist.com,https://greatist.com/feed,Greatist,Health,Enabled,0.23,,article,,greatist.com,Top Sources; Health
wellandgood.com,https://www.wellandgood.com/feed/,Well+Good,Health,Enabled,0.2,,article,,www.wellandgood.com,Top Sources; Health
medicinenet.com/script/main/hp.asp,https://www.medicinenet.com/rss/dailyhealth.xml,MedicineNet,Health,Enabled,0.09,,article,,www.medicinenet.com,Top Sources; Health
shape.com,https://www.shape.com/rss.xml,Shape Magazine,Health,Enabled,-0.07,,article,,www.shape.com,Top Sources; Health; Fitness
wellnessmama.com,https://wellnessmama.com/feed/,Wellness Mama,Health,Enabled,-0.29,,article,,wellnessmama.com,Top Sources; Health
houzz.com,https://www.houzz.com/getGalleries/featured/out-rss,Houzz,Home,Enabled,16.18,,article,,www.houzz.com,Top Sources; Home; Design
apartmenttherapy.com,https://www.apartmenttherapy.com/main.rss,Apartment Therapy,Home,Enabled,11.57,,article,,www.apartmenttherapy.com,Top Sources; Home
design-milk.com,https://feeds.feedburner.com/design-milk,Design Milk,Home,Enabled,7.52,,article,,design-milk.com,Top Sources; Home; Design
bobvila.com,https://www.bobvila.com/rss.xml,Bob Vila,Home,Enabled,0.61,,article,,www.bobvila.com,Top Sources; Home; DIY
contemporist.com,https://feeds.feedburner.com/contemporist,Contemporist,Home,Enabled,0.63,,article,,www.contemporist.com,Top Sources; Home
trendir.com,https://feeds.feedburner.com/trendir/,Trendir,Home,Enabled,0.56,,article,,www.trendir.com,Top Sources; Home
sfgirlbybay.com,https://www.sfgirlbybay.com/feed/,sfgirlbybay,Home,Enabled,0.39,,article,,www.sfgirlbybay.com,Top Sources; Home
poppytalk.com,https://feeds.feedburner.com/blogspot/ISuVv,Poppytalk,Home,Enabled,0.11,,article,,poppytalk.blogspot.com,Top Sources; Home
juniperhome.com,https://juniperhome.com/blog/feed/,Juniper Home,Home,Enabled,0.06,,article,,juniperhome.com,Top Sources; Home
homedit.com,https://feeds.feedburner.com/Homedit,Homedit,Home,Enabled,-0.19,,article,,www.homedit.com,Top Sources; Home; Design
makingitlovely.com,https://feeds2.feedburner.com/makingitlovely,Making it Lovely,Home,Enabled,-0.18,,article,,makingitlovely.com,Top Sources; Home; Design
remodelista.com,https://www.remodelista.com/feed/,Remodelista,Home,Enabled,-0.2,,article,,www.remodelista.com,Top Sources; Home; Design
domino.com,https://www.domino.com/feed/,domino,Home,Enabled,-0.33,,article,,www.domino.com,Top Sources; Home
thedesignfiles.net,https://thedesignfiles.net/feed/,The Design Files,Home,Enabled,-0.38,,article,,thedesignfiles.net,Top Sources; Home; Design
